Title,Employer Name,Experience,Salary,Location,Posted Value,Posted Unit,Skills list
Technical Sales Representative,UJIT MARKETING,2 to 6 Yrs,,Bhopal,2,months,"['Contractors Market research', 'Cold calling', 'Networking', 'Social media', 'Presentations', 'Quotations', 'Exhibitions', 'Conferences', 'Negotiation', 'Customer requirements', 'Prospecting', 'Customer service', 'Communication skills', 'Negotiation', 'Commercial awareness', 'IT skills', 'Maintain connects with Architects', 'Interior Designers', 'Sales opportunities', 'Cost calculations', 'Resilience', 'Influence', 'Technical knowledge']"
AM Research and Development For Agrochemical Industry,Capital Placement Services,4 to 10 Yrs,,Bharuch,2,months,"['Research  Development', 'Chemical', 'Agro', 'UPLC', 'HPLC', 'GC', 'ADL', 'Analytical Development LAB']"
Media & Advertising Sales Specialist,Entrepreneur India,3 to 8 Yrs,,All India,2,months,"['Media Sales Client Relationship Management', 'Market Research', 'Negotiation', 'Budgeting', 'Advertising Services']"
Mechanical Apprentice,Stemford India Pvt Ltd,0 to 4 Yrs,,Karnataka,2,months,['Mechanical Diploma']
Sales Executive,Talentbes Executive Search,1 to 5 Yrs,,All India,2,months,"['Negotiation skills Relationship management', 'Word', 'PowerPoint', 'Strong sales acumen', 'Proficiency in MS Office Excel', 'Excellent verbal', 'written communication skills']"
Senior Captain,Brick and Mortar Restaurants LLP,3 to 7 Yrs,,Thane,2,months,"['Team management Communication', 'Interpersonal skills', 'Strong leadership', 'Food', 'beverage service standards', 'Restaurant management software', 'POS systems']"
WordPress Developer,Webchefz Infotech Pvt Ltd,3 to 7 Yrs,,Punjab,2,months,"['HTML5 CSS3', 'WordPress', 'JavaScript', 'jQuery', 'ACF', 'Bootstrap', 'WooCommerce', 'PHP', 'Custom Post Types', 'PSDFigma designs', 'Reactjs', 'Plugin customization', 'Elementor', 'Divi Theme']"
Content & Website Editor,TechFanatic,2 to 6 Yrs,,Surat,2,months,"['content creation website management', 'social media', 'SEO', 'digital marketing', 'journalistic research skills']"
Dispatch Supervisor,Peak Performance Advisors (OPS) PVTLTD,1 to 5 Yrs,,Maharashtra,2,months,"['logistics dispatch', 'supply chain', 'inventory', 'MS Office', 'ERP', 'coordination', 'communication']"
Executive - Field Sales,NoBrokerHood,0 to 4 Yrs,,Uttar Pradesh,2,months,"['Lead Generation Client Engagement', 'Relationship Management', 'Market Research', 'Sales Target Achievement', 'Reporting  Documentation']"
Testing Engineer for Production,Lateral Emsoft Pvt. Ltd,0 to 3 Yrs,,Navi Mumbai,2,months,"['Testing Quality control', 'Test environments', 'Analytical skills', 'Documentation', 'ISO', 'Good communication skills', 'Test cases development', 'Automated testing systems', 'Industry standards eg']"
ICT Technician,Satchitanand Jigs & Fixtures,0 to 4 Yrs,,Karnataka,2,months,['ICT Testing']
Sales and Support Executive,FoundersCart,2 to 6 Yrs,,Delhi,2,months,"['Strong communication skills Sales', 'Customer support', 'CRM software', 'Problemsolving', 'Organizational skills', 'Team player', 'Technical software']"
Payment Investigation,Anisan Soft Tech Solutions,2 to 6 Yrs,,Hyderabad,2,months,"['Swift Payments Communication Skills', 'Payment Investigation']"
Front Office Executive,Capital Placement Services,2 to 8 Yrs,,All India,2,months,"['Calendar ManagementFront Office Executive', 'Front Office Administrator', 'Front Office Coordinator', 'Receptionist', 'Mails']"
Accounts and Purchase Executive,A.N Market Solutions Pvt. Ltd,2 to 6 Yrs,,Karnataka,2,months,"['Communication  Customer Service skills', 'Sales', 'Sales Management skills', 'Experience in training individuals in sales', 'Strong organizational', 'timemanagement skills']"
B2B sales representative,LaunchED Global,0 to 3 Yrs,,Karnataka,2,months,"['B2B Sales Prospecting', 'Lead Generation', 'Client Relationship Management', 'Sales Presentations', 'Negotiation', 'Communication', 'Analytical Skills', 'Problemsolving']"
Milling Machine Operator,Reign Recruitz Solution Pvt. Ltd,1 to 5 Yrs,,All India,2,months,"['CNC Milling Measurement Tools', 'Quality Control', 'Milling Machine Operation', 'Metal Component Production', 'Reading Engineering Drawings']"
Assistant Manager - Collective Operations,Beforest Lifestyle Solutions Pvt Ltd,3 to 7 Yrs,,Bhopal,2,months,"['Human Resource Management Vendor Management', 'Inventory Management', 'Labor Management', 'Communication skills', 'Leadership skills', 'Vendor coordination', 'Operational Oversight  Execution', 'Budgeting  Forecasting', 'Maintenance  Infrastructure', 'Sourcing of Materials  Farm Inputs', 'Farm Input Planning for SelfSufficiency', 'Strong organizational skills', 'Knowledge of budgeting', 'Knowledge of inventory management', 'Commitment to sustainability', 'ecological practices']"
Cook / Dietary Aide / Receiver,County of Lennox and Addington,2 to 6 Yrs,,All India,2,months,"['Culinary management Verbal communication', 'Written communication', 'HACCP', 'Training', 'Dishwashing', 'Chef training', 'Red Seal Designation', 'Safe Food Handler Certificate', 'Quantity food production', 'Food server', 'Sanitation practices', 'Public Health Standards', 'Ministry of Health Dietary Compliance Standards']"
